,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
RBP1,0.077,0.083,0.948,0.1,0.087,0.11,0.051,0.091,0.026,0.129,0.05,0.091,0.091,0.073,0.072,0.041
IL6,0.001,0.006,0.012,0.081,0.003,0.238,0.001,0.003,0.0,0.041,0.001,0.918,0.009,0.007,0.302,0.004
UBD,0.027,0.002,0.001,0.0,0.013,0.002,1.0,0.002,0.002,0.001,0.001,0.001,0.001,0.003,0.0,0.001
HEY1,0.001,0.013,0.024,0.011,0.027,0.074,0.001,0.008,0.001,0.029,0.003,0.004,0.003,0.007,0.996,0.008
INDO,0.003,0.001,0.002,0.0,0.01,0.001,1.0,0.004,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.001
AADAC,0.016,0.084,0.222,0.016,0.205,0.08,0.029,0.135,0.027,0.928,0.046,0.008,0.031,0.046,0.067,0.063
TMPRSS4,0.0,0.005,0.518,0.0,0.009,0.223,0.0,0.01,0.001,0.338,0.014,0.0,0.001,0.001,0.753,0.002
CXCR7,0.003,0.013,0.026,0.039,0.009,0.978,0.004,0.007,0.002,0.038,0.009,0.032,0.012,0.013,0.196,0.009
NELL2,0.312,0.008,0.003,0.041,0.006,0.0,0.193,0.026,0.125,0.009,0.037,0.121,0.911,0.029,0.0,0.007
TMEM16A,0.142,0.027,0.189,0.018,0.197,0.001,0.129,0.237,0.704,0.498,0.245,0.001,0.164,0.038,0.0,0.003
PLAC8,0.08,0.012,0.01,0.001,0.052,0.026,0.995,0.009,0.01,0.007,0.005,0.003,0.003,0.013,0.01,0.008
SCEL,0.021,0.068,0.076,0.066,0.029,0.113,0.024,0.066,0.038,0.948,0.103,0.081,0.09,0.066,0.148,0.12
SLC6A14,0.006,0.056,0.049,0.03,0.023,0.061,0.06,0.086,0.011,0.146,0.035,0.107,0.05,0.049,0.053,0.968
CSTA,0.002,0.007,0.212,0.011,0.01,0.028,0.0,0.023,0.0,0.974,0.001,0.004,0.007,0.003,0.069,0.005
IGLV3-25,0.02,0.011,0.004,0.018,0.011,0.017,0.995,0.017,0.015,0.019,0.011,0.075,0.019,0.026,0.008,0.021
