,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MMP1,0.0,0.233,0.0,0.308,0.0,0.36,0.365,0.468,0.48,0.0,0.0,0.0,0.0,0.0,0.372,0.0
WFDC2,0.0,0.624,0.0,0.273,0.0,0.0,0.497,0.226,0.339,0.0,0.0,0.0,0.0,0.351,0.0,0.0
CEACAM6,0.0,0.435,0.0,0.0,0.23,0.0,0.463,0.445,0.37,0.335,0.247,0.187,0.0,0.0,0.0,0.0
COCH,0.475,0.507,0.252,0.0,0.221,0.331,0.0,0.0,0.275,0.0,0.0,0.249,0.397,0.0,0.0,0.0
DSC3,0.0,0.0,0.346,0.0,0.178,0.467,0.311,0.447,0.0,0.0,0.0,0.411,0.0,0.0,0.0,0.406
IGF2,0.0,0.0,0.451,0.0,0.0,0.446,0.0,0.0,0.291,0.0,0.425,0.35,0.0,0.0,0.0,0.458
MMP13,0.0,0.0,0.0,0.326,0.0,0.398,0.394,0.454,0.337,0.0,0.321,0.0,0.0,0.0,0.397,0.0
CEL,0.411,0.636,0.125,0.0,0.328,0.117,0.0,0.059,0.219,0.0,0.188,0.323,0.0,0.064,0.0,0.306
GSTM3,0.347,0.28,0.0,0.198,0.0,0.0,0.0,0.0,0.314,0.0,0.0,0.318,0.485,0.573,0.0,0.0
FZD10,0.432,0.233,0.377,0.0,0.0,0.375,0.0,0.0,0.14,0.291,0.0,0.35,0.331,0.0,0.0,0.374
TCN1,0.0,0.0,0.0,0.299,0.361,0.325,0.463,0.212,0.422,0.0,0.0,0.0,0.0,0.0,0.486,0.0
SERPINB5,0.0,0.0,0.0,0.0,0.0,0.451,0.44,0.434,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.47
NRN1,0.0,0.0,0.0,0.0,0.0,0.46,0.424,0.288,0.228,0.0,0.474,0.353,0.353,0.0,0.0,0.0
PTN,0.0,0.0,0.0,0.41,0.32,0.332,0.527,0.0,0.439,0.0,0.0,0.142,0.359,0.0,0.0,0.0
PTGS2,0.0,0.0,0.0,0.244,0.0,0.369,0.393,0.453,0.321,0.0,0.378,0.0,0.0,0.0,0.342,0.287
IGKV1-5,0.245,0.0,0.0,0.125,0.593,0.258,0.0,0.324,0.33,0.0,0.0,0.0,0.0,0.388,0.376,0.0
IL1F9,0.0,0.0,0.568,0.245,0.0,0.504,0.314,0.453,0.0,0.0,0.0,0.245,0.0,0.0,0.0,0.0
LMO3,0.188,0.473,0.0,0.0,0.0,0.0,0.218,0.413,0.428,0.32,0.292,0.0,0.0,0.305,0.244,0.0
IL1A,0.0,0.0,0.418,0.402,0.0,0.315,0.276,0.441,0.0,0.294,0.0,0.0,0.0,0.0,0.252,0.379
BEX1,0.0,0.0,0.337,0.0,0.724,0.134,0.0,0.0,0.277,0.141,0.256,0.0,0.427,0.0,0.0,0.0
DMBT1,0.0,0.483,0.225,0.0,0.0,0.0,0.369,0.434,0.284,0.305,0.247,0.249,0.0,0.308,0.0,0.0
TOX3,0.0,0.229,0.294,0.0,0.0,0.0,0.225,0.0,0.27,0.305,0.294,0.0,0.685,0.211,0.209,0.0
FOLR1,0.0,0.515,0.211,0.0,0.0,0.0,0.366,0.346,0.352,0.366,0.167,0.0,0.0,0.387,0.0,0.0
TSPYL5,0.247,0.0,0.0,0.0,0.0,0.411,0.462,0.249,0.251,0.0,0.446,0.338,0.0,0.0,0.0,0.345
CYP4F11,0.422,0.469,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.479,0.0,0.386,0.441,0.0,0.0,0.0
KLK11,0.0,0.143,0.474,0.0,0.0,0.412,0.376,0.477,0.0,0.0,0.0,0.392,0.096,0.0,0.0,0.23
TFF3,0.0,0.146,0.0,0.305,0.339,0.0,0.454,0.0,0.388,0.416,0.321,0.127,0.0,0.323,0.13,0.0
HP,0.0,0.405,0.197,0.0,0.0,0.0,0.382,0.372,0.283,0.383,0.0,0.0,0.306,0.438,0.0,0.0
COL11A1,0.0,0.286,0.123,0.396,0.0,0.481,0.372,0.438,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP3,0.0,0.0,0.0,0.0,0.235,0.0,0.4,0.474,0.0,0.335,0.419,0.344,0.0,0.0,0.0,0.392
ALDH1A1,0.373,0.0,0.456,0.0,0.0,0.0,0.392,0.0,0.326,0.0,0.0,0.424,0.463,0.0,0.0,0.0
CYP4B1,0.0,0.374,0.0,0.0,0.0,0.0,0.357,0.389,0.313,0.393,0.274,0.339,0.0,0.345,0.0,0.141
CP,0.0,0.36,0.0,0.17,0.29,0.0,0.448,0.0,0.401,0.32,0.075,0.0,0.0,0.345,0.41,0.0
RHCG,0.0,0.0,0.597,0.3,0.0,0.419,0.196,0.406,0.0,0.0,0.0,0.359,0.119,0.0,0.0,0.177
BCHE,0.0,0.489,0.0,0.281,0.0,0.461,0.267,0.182,0.45,0.0,0.0,0.0,0.403,0.0,0.0,0.0
CYP26A1,0.347,0.451,0.449,0.0,0.0,0.396,0.0,0.0,0.289,0.0,0.0,0.287,0.389,0.0,0.0,0.0
TNC,0.188,0.0,0.364,0.344,0.0,0.482,0.349,0.467,0.368,0.0,0.0,0.078,0.0,0.0,0.0,0.0
CLDN10,0.0,0.368,0.0,0.365,0.477,0.0,0.283,0.0,0.273,0.316,0.332,0.0,0.0,0.373,0.0,0.0
VTCN1,0.0,0.083,0.521,0.314,0.224,0.0,0.497,0.0,0.0,0.384,0.312,0.286,0.0,0.0,0.0,0.0
SERPINB7,0.0,0.0,0.367,0.44,0.344,0.42,0.277,0.467,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.273
IGFBP2,0.0,0.0,0.436,0.169,0.0,0.346,0.441,0.107,0.335,0.0,0.367,0.397,0.227,0.0,0.0,0.0
S100A9,0.0,0.0,0.0,0.358,0.216,0.311,0.376,0.511,0.0,0.0,0.0,0.139,0.0,0.349,0.43,0.0
GPR87,0.0,0.0,0.0,0.204,0.116,0.293,0.423,0.521,0.0,0.0,0.0,0.414,0.0,0.0,0.0,0.488
CXCL9,0.265,0.0,0.0,0.362,0.576,0.0,0.0,0.159,0.222,0.0,0.0,0.0,0.318,0.381,0.382,0.0
AHNAK2,0.0,0.0,0.15,0.096,0.058,0.49,0.392,0.539,0.222,0.0,0.0,0.292,0.0,0.0,0.0,0.383
FMO3,0.0,0.0,0.0,0.0,0.173,0.0,0.392,0.33,0.774,0.0,0.2,0.093,0.0,0.0,0.244,0.0
FOXE1,0.448,0.0,0.401,0.0,0.0,0.405,0.258,0.325,0.0,0.0,0.0,0.379,0.33,0.0,0.0,0.225
CA12,0.0,0.0,0.0,0.145,0.0,0.558,0.393,0.583,0.0,0.0,0.0,0.26,0.0,0.0,0.326,0.0
GREM1,0.0,0.451,0.0,0.367,0.0,0.448,0.344,0.415,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSPAN8,0.0,0.0,0.298,0.194,0.0,0.0,0.206,0.0,0.295,0.19,0.046,0.0,0.745,0.246,0.3,0.0
MSMB,0.0,0.0,0.0,0.256,0.0,0.0,0.457,0.102,0.312,0.348,0.154,0.243,0.0,0.354,0.537,0.0
KRT31,0.0,0.0,0.0,0.0,0.0,0.0,0.334,0.425,0.0,0.377,0.439,0.445,0.0,0.419,0.0,0.0
KRT4,0.0,0.0,0.398,0.0,0.37,0.0,0.297,0.294,0.0,0.464,0.343,0.371,0.0,0.244,0.0,0.0
SPINK1,0.0,0.414,0.313,0.0,0.0,0.136,0.0,0.202,0.315,0.372,0.0,0.0,0.207,0.352,0.483,0.184
AREG,0.0,0.0,0.403,0.423,0.0,0.315,0.0,0.462,0.404,0.0,0.0,0.0,0.0,0.0,0.427,0.0
ANXA10,0.264,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577,0.0,0.446,0.381,0.0,0.0,0.429
CXCL10,0.289,0.0,0.0,0.416,0.43,0.0,0.0,0.287,0.25,0.0,0.0,0.0,0.0,0.447,0.462,0.0
PRAME,0.301,0.499,0.0,0.23,0.473,0.0,0.0,0.0,0.259,0.0,0.31,0.206,0.423,0.0,0.0,0.0
NLRP2,0.58,0.0,0.0,0.0,0.0,0.0,0.404,0.367,0.125,0.0,0.546,0.0,0.0,0.229,0.0,0.0
SOSTDC1,0.0,0.0,0.61,0.0,0.275,0.463,0.323,0.0,0.0,0.0,0.0,0.448,0.097,0.0,0.0,0.153
AIM2,0.35,0.0,0.0,0.157,0.279,0.331,0.0,0.42,0.241,0.0,0.0,0.0,0.0,0.0,0.546,0.363
DDX3Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NELL1,0.464,0.405,0.364,0.0,0.0,0.33,0.018,0.0,0.321,0.111,0.142,0.247,0.427,0.0,0.0,0.0
S100A8,0.0,0.0,0.175,0.344,0.0,0.434,0.454,0.576,0.0,0.0,0.0,0.0,0.0,0.0,0.352,0.0
GHR,0.0,0.0,0.0,0.0,0.0,0.454,0.481,0.295,0.374,0.0,0.386,0.301,0.126,0.0,0.0,0.283
CABYR,0.429,0.507,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.476,0.0,0.358,0.415,0.0,0.0,0.0
VSNL1,0.0,0.0,0.528,0.0,0.31,0.521,0.0,0.415,0.0,0.0,0.0,0.373,0.203,0.0,0.0,0.0
CRYAB,0.0,0.0,0.391,0.212,0.384,0.477,0.368,0.36,0.225,0.0,0.0,0.334,0.0,0.0,0.0,0.0
ADAM23,0.484,0.146,0.0,0.0,0.0,0.366,0.157,0.0,0.311,0.0,0.0,0.477,0.511,0.0,0.0,0.0
FABP6,0.0,0.428,0.0,0.144,0.0,0.0,0.116,0.151,0.0,0.0,0.222,0.438,0.0,0.579,0.0,0.429
POPDC3,0.438,0.481,0.36,0.385,0.0,0.43,0.0,0.124,0.0,0.0,0.0,0.0,0.314,0.0,0.0,0.0
SLC34A2,0.035,0.513,0.0,0.0,0.0,0.0,0.48,0.512,0.336,0.081,0.22,0.0,0.0,0.275,0.0,0.0
ODAM,0.0,0.0,0.374,0.422,0.0,0.297,0.0,0.0,0.336,0.0,0.308,0.0,0.415,0.114,0.448,0.0
SLCO1B3,0.372,0.394,0.322,0.286,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.18,0.0,0.544,0.0
CXCL11,0.078,0.0,0.405,0.429,0.299,0.0,0.0,0.304,0.263,0.0,0.0,0.0,0.0,0.452,0.437,0.0
RNF128,0.0,0.473,0.0,0.0,0.186,0.23,0.0,0.246,0.32,0.424,0.0,0.288,0.323,0.0,0.299,0.262
PON3,0.0,0.113,0.0,0.327,0.278,0.0,0.0,0.066,0.268,0.0,0.147,0.0,0.72,0.312,0.299,0.0
HBB,0.0,0.076,0.594,0.35,0.386,0.0,0.0,0.151,0.408,0.0,0.0,0.339,0.0,0.257,0.0,0.0
LRAP,0.263,0.487,0.0,0.33,0.0,0.0,0.0,0.33,0.189,0.0,0.231,0.0,0.0,0.286,0.467,0.296
ZIC1,0.212,0.0,0.407,0.207,0.164,0.231,0.0,0.0,0.065,0.0,0.334,0.0,0.726,0.0,0.0,0.154
TNNT1,0.0,0.313,0.0,0.405,0.0,0.0,0.0,0.425,0.329,0.43,0.343,0.0,0.064,0.0,0.378,0.0
IL8,0.0,0.0,0.0,0.469,0.317,0.0,0.279,0.359,0.39,0.0,0.0,0.0,0.0,0.361,0.437,0.0
S100A12,0.0,0.0,0.0,0.375,0.0,0.201,0.273,0.54,0.0,0.0,0.0,0.398,0.0,0.0,0.543,0.0
CBR3,0.318,0.395,0.0,0.254,0.169,0.0,0.149,0.0,0.307,0.495,0.0,0.398,0.361,0.0,0.0,0.0
NEFL,0.176,0.0,0.0,0.274,0.0,0.635,0.268,0.093,0.504,0.0,0.0,0.031,0.395,0.0,0.0,0.0
IL1R2,0.0,0.0,0.401,0.348,0.0,0.429,0.123,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.147
MME,0.0,0.0,0.456,0.317,0.281,0.23,0.0,0.0,0.253,0.255,0.263,0.0,0.598,0.0,0.07,0.0
